WARNING: empty or missing file
+
   $sepallength     $sepalwidth    $petallength     $petalwidth          =class            $_XX            $_yy             _ZZ    #      notes
           5.84            3.05            3.76            1.20               1            0.38            0.11               0    #   expected
           0.83            0.43            1.76            0.76            0.33            0.24            0.06            1.00    # certainity
            5.1             3.5             1.4             0.2               1 0.0797408688873  0.133858729272               0    #
            4.9             3.0             1.4             0.2               1 0.0743668867141 0.0499440079047               0    #
            4.7             3.2             1.3             0.2               1 0.0492274474066 0.0558613504461               0    #
            4.6             3.1             1.5             0.2               1 0.0534770031277 0.0298909966884               0    #
            5.0             3.6             1.4             0.2               1 0.0696938593418  0.145946285815               0    #
            5.4             3.9             1.7             0.4               1  0.133429607841  0.217222347934               0    #
            4.6             3.4             1.4             0.3               1 0.0536887389533 0.0904463991617               0    #
            5.0             3.4             1.5             0.2               1 0.0789450043919  0.108385482913               0    #
            4.4             2.9             1.4             0.2               1 0.0367490134875 0.0188900153425               0    #
            4.9             3.1             1.5             0.1               1 0.0657437012212 0.0648485358251               0    #
            5.4             3.7             1.5             0.2               1  0.104413005656  0.187854876074               0    #
            4.8             3.4             1.6             0.2               1  0.068102130351 0.0967396664188               0    #
            4.8             3.0             1.4             0.1               1 0.0548569962928 0.0495944202394               0    #
            4.3             3.0             1.1             0.1               1             0.0             0.0               0    #
            5.8             4.0             1.2             0.2               1  0.114744746271    0.2722958665               0    #
            5.7             4.4             1.5             0.4               1   0.13665689671  0.330542454966               0    #
            5.4             3.9             1.3             0.4               1  0.113247926975   0.22330634928               0    #
            5.1             3.5             1.4             0.3               1 0.0913066121798  0.131308611181               0    #
            5.7             3.8             1.7             0.3               1  0.147799168351  0.219233656172               0    #
            5.1             3.8             1.5             0.3               1 0.0900434451458  0.186817659205               0    #
            5.4             3.4             1.7             0.2               1   0.12081243334  0.136782087656               0    #
            5.1             3.7             1.5             0.4               1  0.103712050855  0.167069425377               0    #
            4.6             3.6             1.0             0.2               1 0.0177355899611  0.132485488803               0    #
            5.1             3.3             1.7             0.5               1  0.133780084248  0.088795972796               0    #
            4.8             3.4             1.9             0.2               1 0.0832383910005 0.0993415958295               0    #
            5.0             3.0             1.6             0.2               1 0.0924018742757 0.0560673020057               0    #
            5.0             3.4             1.6             0.4               1  0.107121911193  0.103068960724               0    #
            5.2             3.5             1.5             0.2               1 0.0927304362325  0.139498679774               0    #
            5.2             3.4             1.4             0.2               1 0.0897878784328  0.124851806518               0    #
            4.7             3.2             1.6             0.2               1  0.064363708056 0.0539382275245               0    #
            4.8             3.1             1.6             0.2               1 0.0744107176015 0.0441485243136               0    #
            5.4             3.4             1.5             0.4               1  0.133853079492  0.132000718882               0    #
            5.2             4.1             1.5             0.1               1  0.068547518439  0.254150917038               0    #
            5.5             4.2             1.4             0.2               1 0.0967974204842  0.286336208189               0    #
            4.9             3.1             1.5             0.1               1             0.0             0.0               0    #
            5.0             3.2             1.2             0.2               1 0.0680144685761 0.0840722854548               0    #
            5.5             3.5             1.3             0.2               1  0.106472037186  0.167372269436               0    #
            4.9             3.1             1.5             0.1               1             0.0             0.0               0    #
            4.4             3.0             1.3             0.2               1 0.0296007308542 0.00616437024559               0    #
            5.1             3.4             1.5             0.2               1 0.0868891515206  0.115427554468               0    #
            5.0             3.5             1.3             0.3               1 0.0783170448347  0.127250456682               0    #
            4.5             2.3             1.3             0.3               1 0.0638306581932  0.141378909451               0    #
            4.4             3.2             1.3             0.2               1 0.0253950060205 0.0447817749009               0    #
            5.0             3.5             1.6             0.6               1  0.128150535362  0.128555234624               0    #
            5.1             3.8             1.9             0.4               1  0.121790869304  0.183828909078               0    #
            4.8             3.0             1.4             0.3               1 0.0779884828779 0.0335082686212               0    #
            5.1             3.8             1.6             0.2               1 0.0835231220698  0.188087295223               0    #
            4.6             3.2             1.4             0.2               1 0.0463287204944 0.0490536985857               0    #
            5.3             3.7             1.5             0.2               1 0.0964688585275  0.181202549233               0    #
            5.0             3.3             1.4             0.2               1 0.0760024465923 0.0930721841457               0    #
            7.0             3.2             4.7             1.4               2  0.542276038237  0.121347388854               0    #
            6.4             3.2             4.5             1.5               2  0.496086058325 0.0937855428211               0    #
            6.9             3.1             4.9             1.5               2  0.558091337251 0.0902473259889               0    #
            5.5             2.3             4.0             1.3               2   0.39515590825  0.125683121522               0    #
            6.5             2.8             4.6             1.5               2  0.517487075337 0.0188270334454               0    #
            5.7             2.8             4.5             1.3               2  0.425756991506 0.0616266750913               0    #
            6.3             3.3             4.7             1.6               2  0.507695632505  0.118510863446               0    #
            4.9             2.4             3.3             1.0               2  0.275372991668  0.129056307512               0    #
            6.6             2.9             4.6             1.3               2  0.500196873464 0.0525304425175               0    #
            5.2             2.7             3.9             1.4               2  0.369432340273  0.112726840119               0    #
            5.0             2.0             3.5             1.0               2  0.301819428897  0.195662043565               0    #
            5.9             3.0             4.2             1.5               2  0.445434786865 0.0711162616561               0    #
