WARNING: empty or missing file
nb
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        131 108  70  55  61  45  47  34  53  49  55 1         
all                  all         98 144  58  52  40  45  41  27  43  42  52 3         
all                  all         65 173  35  56  30  45  46  24  35  40  57 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        118 129  57  47  61  48  52  27  56  54  61 1         
all                  all        121 136  75  37  46  48  38  21  55  45  51 3         
all                  all         55 169  22  70  33  48  60  29  32  42  65 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        127 133  55  34  72  53  57  20  68  62  66 1         
all                  all        104 126  50  64  54  53  52  34  46  49  58 3         
all                  all         63 192  32  39  31  53  49  17  44  47  62 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        130 128  60  36  70  50  54  22  66  59  64 1         
all                  all         85 148  44  61  41  50  48  29  40  44  57 3         
all                  all         79 166  42  49  37  50  47  23  43  45  58 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        122 130  65  42  57  47  47  24  58  52  58 1         
all                  all        102 136  58  56  44  47  43  29  44  44  54 3         
all                  all         70 165  34  59  36  47  51  26  38  44  61 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        123 129  63  42  60  47  49  25  59  53  59 1         
all                  all         94 142  56  58  38  47  40  29  40  40  52 3         
all                  all         77 160  38  57  39  47  51  26  41  45  60 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        126 126  64  42  62  47  49  25  60  54  59 1         
all                  all        105 145  61  44  44  47  42  23  50  46  54 3         
all                  all         63 162  30  69  33  47  52  30  32  40  60 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        118 133  56  43  62  49  53  24  59  56  62 1         
all                  all        105 138  56  51  49  49  47  27  49  48  57 3         
all                  all         71 168  37  55  34  49  48  25  38  43  59 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        143 119  67  32  76  51  53  21  70  61  63 1         
all                  all         95 137  45  62  50  51  53  31  45  48  60 3         
all                  all         56 189  31  49  25  51  45  21  34  38  57 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        116 132  67  46  49  45  42  26  52  46  54 1         
all                  all        112 120  61  62  51  45  46  34  45  45  54 3         
all                  all         66 174  34  54  32  45  48  24  37  42  59 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        135 114  66  45  69  50  51  28  61  55  60 1         
all                  all         95 145  52  54  43  50  45  27  44  45  56 3         
all                  all         64 181  30  49  34  50  53  21  41  46  63 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        134 116  72  44  62  48  46  28  58  52  56 1         
all                  all         98 146  52  50  46  48  47  26  48  47  58 3         
all                  all         62 173  29  59  33  48  53  25  36  43  62 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        126 135  65  33  61  50  48  20  65  55  60 1         
all                  all         94 142  50  58  44  50  47  29  43  45  56 3         
all                  all         74 165  31  55  43  50  58  25  44  50  65 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        115 142  51  37  64  47  56  21  63  59  65 1         
all                  all        107 134  65  53  42  47  39  28  44  42  51 3         
all                  all         72 156  40  66  32  47  44  30  33  38  54 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        116 141  54  37  62  51  53  21  63  58  64 1         
all                  all        117 120  57  57  60  51  51  32  51  51  58 3         
all                  all         61 182  34  51  27  51  44  22  35  39  57 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        127 135  57  32  70  52  55  19  69  61  66 1         
all                  all        106 137  62  51  44  52  42  27  46  44  53 3         
all                  all         61 176  21  57  40  52  66  24  41  51  70 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        112 136  58  46  54  47  48  25  54  51  59 1         
all                  all        119 124  68  51  51  47  43  29  50  46  53 3         
all                  all         63 172  30  59  33  47  52  26  36  43  61 2         
db                   rx          n    a   b   c  d   acc pd  pf  prec f  g  class     
----------------------------------------------------------------------------------------------------
all                  all        133 122  71  39  62  48  47  24  61  53  58 1         
all                  all         91 147  44  56  47  48  52  28  46  48  60 3         
all                  all         70 165  39  59  31  48  44  26  34  39  55 2         
